EbayID,Labels
39448,Ebay>Antiques>Linens_Textiles_Pre_1930_>Lace_Crochet_Doilies>Trim_Edging
2219,Ebay>Antiques>Linens_Textiles_Pre_1930_>Lace_Crochet_Doilies>OtherAntiqueLace_Crochet
63624,Ebay>Antiques>Linens_Textiles_Pre_1930_>Pillows
2221,Ebay>Antiques>Linens_Textiles_Pre_1930_>Quilts>CompletedQuilts
63634,Ebay>Antiques>Linens_Textiles_Pre_1930_>Quilts>QuiltBlocks
170064,Ebay>Antiques>Linens_Textiles_Pre_1930_>Quilts>QuiltTops
2223,Ebay>Antiques>Linens_Textiles_Pre_1930_>Samplers
2224,Ebay>Antiques>Linens_Textiles_Pre_1930_>Tapestries
171178,Ebay>Antiques>Linens_Textiles_Pre_1930_>PriceGuides_Publications
362,Ebay>Antiques>Linens_Textiles_Pre_1930_>OtherAntiqueTextiles
23048,Ebay>Antiques>Manuscripts
98448,Ebay>Antiques>Maps_Atlases_Globes>AfricaMaps
98450,Ebay>Antiques>Maps_Atlases_Globes>AsiaMaps
98462,Ebay>Antiques>Maps_Atlases_Globes>Australia_OceaniaMaps
98452,Ebay>Antiques>Maps_Atlases_Globes>CentralAmerica_CaribbeanMaps
98454,Ebay>Antiques>Maps_Atlases_Globes>EuropeMaps
179654,Ebay>Antiques>Maps_Atlases_Globes>NorthAmericaMaps
98464,Ebay>Antiques>Maps_Atlases_Globes>SouthAmericaMaps
98466,Ebay>Antiques>Maps_Atlases_Globes>WorldMaps
184438,Ebay>Antiques>Maps_Atlases_Globes>CelestialMaps
184439,Ebay>Antiques>Maps_Atlases_Globes>CuriositiesMaps
63595,Ebay>Antiques>Maps_Atlases_Globes>DigitalMaps
98468,Ebay>Antiques>Maps_Atlases_Globes>World_CelestialGlobes
37964,Ebay>Antiques>Maps_Atlases_Globes>Map_GlobeMixedLots
151725,Ebay>Antiques>Maps_Atlases_Globes>Map_GlobeReproductions
63615,Ebay>Antiques>Maritime>Anchors
63617,Ebay>Antiques>Maritime>DivingHelmets
37968,Ebay>Antiques>Maritime>FishingNets_Floats
163090,Ebay>Antiques>Maritime>Harpoons
63616,Ebay>Antiques>Maritime>MaritimeBells_Whistles_Horns
163082,Ebay>Antiques>Maritime>MaritimeBlueprints
184484,Ebay>Antiques>Maritime>MaritimeCannons_CannonBalls
163084,Ebay>Antiques>Maritime>MaritimeCleats_Chocks
37966,Ebay>Antiques>Maritime>MaritimeClocks
37967,Ebay>Antiques>Maritime>MaritimeCompasses
184485,Ebay>Antiques>Maritime>MaritimeFlags_Ensigns_Pennants
156318,Ebay>Antiques>Maritime>MaritimeFolkArt
37969,Ebay>Antiques>Maritime>MaritimeLamps_Lighting
163083,Ebay>Antiques>Maritime>MaritimeNavigationalCharts
37971,Ebay>Antiques>Maritime>MaritimeNavigationalInstruments
163085,Ebay>Antiques>Maritime>MaritimeParallelRules
163086,Ebay>Antiques>Maritime>MaritimePlaques_Signs
63618,Ebay>Antiques>Maritime>MaritimePortholes_Hatches
171175,Ebay>Antiques>Maritime>MaritimePriceGuides_Publications
163087,Ebay>Antiques>Maritime>MaritimePropellers
163088,Ebay>Antiques>Maritime>MaritimePulleys
156319,Ebay>Antiques>Maritime>MaritimeReproductions
63619,Ebay>Antiques>Maritime>MaritimeScrimshawReplicas
163089,Ebay>Antiques>Maritime>MaritimeTelegraphs
37972,Ebay>Antiques>Maritime>MaritimeTelescopes
